Date,Regime
2024-01-01,Recovery
2024-01-02,Bear
2024-01-03,Recovery
2024-01-04,Bull
2024-01-05,Bull
2024-01-06,Crash
2024-01-07,Recovery
2024-01-08,Crash
2024-01-09,Recovery
2024-01-10,Bear
2024-01-11,Sideways
2024-01-12,Sideways
2024-01-13,Crash
2024-01-14,Bull
2024-01-15,Recovery
2024-01-16,Sideways
2024-01-17,Crash
2024-01-18,Recovery
2024-01-19,Bear
2024-01-20,Crash
2024-01-21,Bull
2024-01-22,Recovery
2024-01-23,Recovery
2024-01-24,Sideways
2024-01-25,Sideways
2024-01-26,Crash
2024-01-27,Bull
2024-01-28,Sideways
2024-01-29,Recovery
2024-01-30,Crash
2024-01-31,Crash
2024-02-01,Bull
2024-02-02,Sideways
2024-02-03,Sideways
2024-02-04,Bull
2024-02-05,Recovery
2024-02-06,Crash
2024-02-07,Bull
2024-02-08,Bear
2024-02-09,Bull
2024-02-10,Crash
2024-02-11,Recovery
2024-02-12,Bear
2024-02-13,Bear
2024-02-14,Bear
2024-02-15,Crash
2024-02-16,Bull
2024-02-17,Sideways
2024-02-18,Crash
2024-02-19,Crash
2024-02-20,Crash
2024-02-21,Sideways
2024-02-22,Crash
2024-02-23,Sideways
2024-02-24,Bear
2024-02-25,Bull
2024-02-26,Crash
2024-02-27,Sideways
2024-02-28,Bear
2024-02-29,Recovery
2024-03-01,Bull
2024-03-02,Recovery
2024-03-03,Bull
2024-03-04,Crash
2024-03-05,Sideways
2024-03-06,Bull
2024-03-07,Crash
2024-03-08,Bear
2024-03-09,Crash
2024-03-10,Recovery
2024-03-11,Bull
2024-03-12,Sideways
2024-03-13,Recovery
2024-03-14,Bear
2024-03-15,Crash
2024-03-16,Bull
2024-03-17,Bear
2024-03-18,Sideways
2024-03-19,Recovery
2024-03-20,Bull
2024-03-21,Bear
2024-03-22,Sideways
2024-03-23,Crash
2024-03-24,Sideways
2024-03-25,Recovery
2024-03-26,Bear
2024-03-27,Sideways
2024-03-28,Bull
2024-03-29,Recovery
2024-03-30,Bull
2024-03-31,Sideways
2024-04-01,Sideways
2024-04-02,Recovery
2024-04-03,Recovery
2024-04-04,Crash
2024-04-05,Sideways
2024-04-06,Sideways
2024-04-07,Bull
2024-04-08,Crash
2024-04-09,Bull
