TradeID,PredictionID,Date,Ticker,Action,Quantity,ExecutionPrice,Commission,PortfolioValue
1,1,2024-01-01,AAPL,BUY,10,133.16624997213427,1.5,100000
2,2,2024-01-02,MSFT,BUY,10,120.75604324838503,1.5,100000
3,3,2024-01-03,MSFT,BUY,10,148.12412548678788,1.5,100000
4,4,2024-01-04,AAPL,BUY,10,126.20254307789935,1.5,100000
5,5,2024-01-05,AAPL,BUY,10,119.2036864655883,1.5,100000
6,6,2024-01-06,MSFT,BUY,10,108.12377517038728,1.5,100000
7,7,2024-01-07,TSLA,BUY,10,136.0544658185697,1.5,100000
8,8,2024-01-08,NVDA,BUY,10,129.81664718947906,1.5,100000
9,9,2024-01-09,AMZN,BUY,10,111.14464234889972,1.5,100000
10,10,2024-01-10,AAPL,BUY,10,112.49809173244606,1.5,100000
11,11,2024-01-11,MSFT,BUY,10,111.01910641285212,1.5,100000
12,12,2024-01-12,NVDA,BUY,10,124.79209324908969,1.5,100000
13,13,2024-01-13,AAPL,BUY,10,102.3644656481002,1.5,100000
14,14,2024-01-14,MSFT,BUY,10,114.46237422788344,1.5,100000
15,15,2024-01-15,MSFT,BUY,10,136.83119719986792,1.5,100000
16,16,2024-01-16,TSLA,BUY,10,131.06149516663373,1.5,100000
17,17,2024-01-17,AAPL,BUY,10,140.92980722523015,1.5,100000
18,18,2024-01-18,NVDA,BUY,10,137.24124774578962,1.5,100000
19,19,2024-01-19,AMZN,BUY,10,101.06386686801706,1.5,100000
20,20,2024-01-20,TSLA,BUY,10,128.47845670561205,1.5,100000
21,21,2024-01-21,AMZN,BUY,10,121.92083634016672,1.5,100000
22,22,2024-01-22,AAPL,BUY,10,118.06500218862003,1.5,100000
23,23,2024-01-23,NVDA,BUY,10,149.61907932306622,1.5,100000
24,24,2024-01-24,NVDA,BUY,10,132.84816853776226,1.5,100000
25,25,2024-01-25,NVDA,BUY,10,112.55350365693434,1.5,100000
26,26,2024-01-26,MSFT,BUY,10,126.64330293523327,1.5,100000
27,27,2024-01-27,NVDA,BUY,10,104.76159665530204,1.5,100000
28,28,2024-01-28,MSFT,BUY,10,137.2636639888895,1.5,100000
29,29,2024-01-29,NVDA,BUY,10,117.38258698101636,1.5,100000
30,30,2024-01-30,AMZN,BUY,10,108.4441686419418,1.5,100000
31,31,2024-01-31,AMZN,BUY,10,108.12107314897237,1.5,100000
32,32,2024-02-01,NVDA,BUY,10,100.76144326851158,1.5,100000
33,33,2024-02-02,NVDA,BUY,10,138.89401266285475,1.5,100000
34,34,2024-02-03,MSFT,BUY,10,136.43499378472205,1.5,100000
35,35,2024-02-04,MSFT,BUY,10,124.25129462497986,1.5,100000
36,36,2024-02-05,MSFT,BUY,10,115.29823779519671,1.5,100000
37,37,2024-02-06,AAPL,BUY,10,119.58058263651044,1.5,100000
38,38,2024-02-07,MSFT,BUY,10,144.20442459702542,1.5,100000
39,39,2024-02-08,MSFT,BUY,10,106.06498861114387,1.5,100000
40,40,2024-02-09,AAPL,BUY,10,101.4782370063103,1.5,100000
41,41,2024-02-10,NVDA,BUY,10,110.78622248548552,1.5,100000
42,42,2024-02-11,TSLA,BUY,10,126.03428166569074,1.5,100000
43,43,2024-02-12,AAPL,BUY,10,100.38414590974722,1.5,100000
44,44,2024-02-13,MSFT,BUY,10,105.21323670717177,1.5,100000
45,45,2024-02-14,AAPL,BUY,10,134.8931990933356,1.5,100000
46,46,2024-02-15,AMZN,BUY,10,122.40314285609469,1.5,100000
47,47,2024-02-16,AMZN,BUY,10,147.43194800071421,1.5,100000
48,48,2024-02-17,NVDA,BUY,10,145.53832838013057,1.5,100000
49,49,2024-02-18,MSFT,BUY,10,113.82289482005228,1.5,100000
50,50,2024-02-19,AMZN,BUY,10,118.88579650294979,1.5,100000
51,51,2024-02-20,AAPL,BUY,10,145.90858656688232,1.5,100000
52,52,2024-02-21,MSFT,BUY,10,128.96287973587465,1.5,100000
53,53,2024-02-22,NVDA,BUY,10,118.48609538826153,1.5,100000
54,54,2024-02-23,MSFT,BUY,10,140.0203352677475,1.5,100000
55,55,2024-02-24,MSFT,BUY,10,146.22520538011378,1.5,100000
56,56,2024-02-25,AAPL,BUY,10,133.67465323517894,1.5,100000
57,57,2024-02-26,MSFT,BUY,10,111.54517888769507,1.5,100000
58,58,2024-02-27,AAPL,BUY,10,140.96302579228663,1.5,100000
59,59,2024-02-28,AAPL,BUY,10,121.02630807070071,1.5,100000
60,60,2024-02-29,MSFT,BUY,10,134.90232899562366,1.5,100000
61,61,2024-03-01,NVDA,BUY,10,124.31768081917511,1.5,100000
62,62,2024-03-02,NVDA,BUY,10,147.04324522087188,1.5,100000
63,63,2024-03-03,TSLA,BUY,10,103.41876202593691,1.5,100000
64,64,2024-03-04,AMZN,BUY,10,107.7898352203752,1.5,100000
65,65,2024-03-05,MSFT,BUY,10,109.72841309080715,1.5,100000
